song,artist,genre,explicit,year,duration_ms,speechiness,liveness,danceability,valence,Mood,Rating_popularity
Oops!...I Did It Again,Britney Spears,pop,FALSE,2000,211160,0.04,0.36,0.75,0.89,Cheerful,Popular
All The Small Things,blink-182,rock,FALSE,1999,167066,0.05,0.61,0.43,0.68,Happy,Popular
It's My Life,Bon Jovi,rock,FALSE,2000,224493,0.05,0.35,0.55,0.54,Happy,Popular
The Real Slim Shady,Eminem,hip hop,TRUE,2000,284200,0.06,0.05,0.95,0.76,Cheerful,Popular
Say My Name,Destiny's Child,pop,FALSE,1999,271333,0.1,0.15,0.71,0.73,Happy,Popular
Lady - Hear Me Tonight,Modjo,Dance,FALSE,2001,307153,0.04,0.06,0.72,0.87,Cheerful,Popular
L'Amour Toujours,Gigi D'Agostino,pop,FALSE,2011,238759,0.03,0.36,0.62,0.81,Cheerful,Underrated
Try Again,Aaliyah,hip hop,FALSE,2002,284000,0.29,0.08,0.8,0.73,Happy,Underrated
Better Off Alone,Alice Deejay,pop,FALSE,2000,214883,0.06,0.29,0.67,0.78,Cheerful,Popular
The Next Episode,Dr. Dre,hip hop,TRUE,1999,161506,0.27,0.09,0.92,0.31,Sad,Popular
In the End,Linkin Park,rock,FALSE,2000,216880,0.06,0.21,0.56,0.4,Sad,Popular
Take A Look Around,Limp Bizkit,metal,FALSE,2000,321040,0.05,0.09,0.43,0.51,Happy,Popular
What'chu Like (feat. Tyrese),Da Brat,hip hop,TRUE,2000,221160,0.24,0.07,0.88,0.82,Cheerful,Underrated
Don't Give Up,Chicane,Electronic,FALSE,2016,210786,0.04,0.08,0.64,0.53,Happy,Underrated
Dance with Me,Debelah Morgan,pop,FALSE,2000,220106,0.04,0.04,0.85,0.74,Happy,Underrated
No More,Ruff Endz,R&B,FALSE,2000,242560,0.09,0.06,0.84,0.93,Cheerful,Underrated
Bounce With Me (feat. Xscape) - Edited Album Version,Bow Wow,hip hop,FALSE,2000,175893,0.17,0.27,0.85,0.93,Cheerful,Underrated
Forgot About Dre,Dr. Dre,hip hop,TRUE,1999,222293,0.08,0.16,0.92,0.62,Happy,Popular
Hot Boyz,Missy Elliott,hip hop,TRUE,1998,215466,0.29,0.18,0.73,0.53,Happy,Underrated
Gotta Tell You,Samantha Mumba,pop,FALSE,2018,201946,0.03,0.17,0.73,0.77,Cheerful,Underrated
Wifey,Next,hip hop,FALSE,2004,243666,0.11,0.08,0.83,0.73,Happy,Underrated
Doesn't Really Matter,Janet Jackson,pop,FALSE,2001,265026,0.08,0.1,0.77,0.8,Cheerful,Underrated
Go Let It Out,Oasis,Folk,FALSE,2000,278666,0.03,0.56,0.41,0.63,Happy,Underrated
Most Girls,P!nk,pop,FALSE,2000,298960,0.03,0.1,0.74,0.69,Happy,Underrated
Against All Odds (Take A Look at Me Now) (feat. Westlife),Mariah Carey,pop,FALSE,2011,199480,0.03,0.1,0.47,0.37,Sad,Underrated
Otherside,Red Hot Chili Peppers,rock,FALSE,1999,255373,0.06,0.08,0.46,0.51,Happy,Popular
Kryptonite,3 Doors Down,pop,FALSE,2000,233933,0.03,0.17,0.55,0.54,Happy,Popular
I Wish,Carl Thomas,pop,FALSE,2000,226760,0.03,0.11,0.74,0.22,Depressed,Underrated
Hemorrhage (In My Hands),Fuel,rock,FALSE,2000,236866,0.04,0.24,0.31,0.33,Sad,Underrated
It Wasn't Me,Shaggy,hip hop,FALSE,2000,227600,0.07,0.31,0.85,0.65,Happy,Popular
Stan,Eminem,hip hop,TRUE,2000,404106,0.24,0.52,0.78,0.51,Sad,Popular
Can't Get You out of My Head,Kylie Minogue,pop,FALSE,2001,230640,0.03,0.12,0.77,0.96,Cheerful,Popular
I'm Like A Bird,Nelly Furtado,hip hop,FALSE,2000,243160,0.04,0.27,0.62,0.61,Happy,Underrated
"Whenever, Wherever",Shakira,pop,FALSE,2001,196160,0.04,0.2,0.79,0.87,Cheerful,Popular
The Middle,Jimmy Eat World,rock,FALSE,2001,165853,0.05,0.06,0.64,0.9,Cheerful,Popular
Drops of Jupiter (Tell Me),Train,pop,FALSE,2001,259933,0.03,0.15,0.48,0.5,Sad,Popular
Family Affair,Mary J. Blige,pop,FALSE,2001,265866,0.04,0.09,0.91,0.97,Cheerful,Popular
We Come 1 - Radio Edit,Faithless,pop,FALSE,2015,222435,0.04,0.15,0.65,0.61,Happy,Underrated
Rollin' (Air Raid Vehicle),Limp Bizkit,metal,TRUE,2000,213760,0.17,0.21,0.6,0.71,Happy,Popular
Irresistible,Jessica Simpson,pop,FALSE,2001,194026,0.06,0.06,0.66,0.67,Happy,Underrated
Let Me Blow Ya Mind,Eve,hip hop,TRUE,2001,230133,0.11,0.07,0.91,0.9,Cheerful,Popular
Ain't It Funny,Jennifer Lopez,hip hop,FALSE,2001,246160,0.05,0.08,0.71,0.62,Happy,Underrated
Another Day in Paradise - R&B-Version,Brandy,hip hop,FALSE,2002,271626,0.03,0.07,0.7,0.56,Happy,Underrated
How You Remind Me,Nickelback,rock,FALSE,2001,223840,0.03,0.1,0.45,0.54,Happy,Popular
One More Time,Daft Punk,hip hop,FALSE,2001,320357,0.13,0.33,0.61,0.48,Sad,Popular
Ms. Jackson,Outkast,hip hop,TRUE,2000,270506,0.27,0.08,0.84,0.61,Happy,Popular
Everytime You Need Me - Radio Version,Fragma,pop,FALSE,2001,213346,0.03,0.34,0.68,0.79,Cheerful,Underrated
Loverboy,Mariah Carey,pop,FALSE,2001,229173,0.12,0.1,0.72,0.82,Cheerful,Underrated
Thank You,Dido,pop,FALSE,1999,218360,0.04,0.07,0.73,0.76,Cheerful,Popular
Nobody Wants to Be Lonely (with Christina Aguilera),Ricky Martin,pop,FALSE,2008,252706,0.06,0.06,0.64,0.59,Happy,Underrated
Another Chance,Roger Sanchez,Electronic,FALSE,2000,452906,0.03,0.14,0.61,0.45,Sad,Underrated
Clint Eastwood,Gorillaz,hip hop,TRUE,2001,340920,0.17,0.07,0.66,0.53,Happy,Popular
Stranger in My House,Tamia,pop,FALSE,2000,285386,0.03,0.15,0.68,0.21,Depressed,Underrated
Let's Dance - Radio Edit,Five,pop,FALSE,2001,218626,0.09,0.29,0.63,0.55,Happy,Underrated
